Tarih,Saat,Enlem,Boylam,Hız(km/sa),vehicle_type,konteyner_tip
19.12.2025,00:02:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:12:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:22:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:32:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:42:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:52:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:02:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:12:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:22:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:32:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:42:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:52:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:02:04,40.190342,28.930786,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:21:13,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:31:13,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:41:13,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:51:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:01:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:11:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:21:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:31:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:41:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:51:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:01:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:11:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:21:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:31:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:41:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:51:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:01:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:11:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:21:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:31:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:41:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:51:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:01:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:11:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:21:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:31:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:41:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:51:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:01:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:11:12,40.190327,28.930799,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:18:34,40.190132,28.931498,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:19:28,40.18779,28.929245,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:20:58,40.194923,28.936842,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:21:08,40.194931,28.936838,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:21:39,40.196884,28.938831,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:23:24,40.201599,28.947851,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:26:50,40.215881,28.937792,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:26:50,40.215881,28.937792,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
