Tarih,Saat,Enlem,Boylam,Hız(km/sa),vehicle_type,konteyner_tip
19.12.2025,00:07:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,00:17:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,00:17:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,00:27:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,00:37:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,00:47:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,00:57:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,01:07:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,01:07:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,01:17:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,01:27:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,01:37:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,01:47:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,01:57:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,02:07:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,02:17:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,02:27:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,02:37:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,02:47:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,02:57:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,03:07:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,03:17:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,03:27:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,03:37:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,03:47:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
19.12.2025,03:57:50,40.190132,28.930801,0.0,Crane Vehicle,YERALTI
