Tarih,Saat,Enlem,Boylam,Hız(km/sa),vehicle_type,konteyner_tip
19.12.2025,00:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:14:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:14:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:24:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:34:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:44:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:54:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:14:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:24:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:34:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:44:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:54:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:14:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:24:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:34:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:44:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:54:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:14:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:24:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:34:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:44:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:54:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:14:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:24:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:34:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:44:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,04:54:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:04:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:14:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:24:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:34:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:44:54,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,05:54:53,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:04:53,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:04:53,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:14:53,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:24:53,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:34:53,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:44:53,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,06:54:53,40.190086,28.930744,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:03:29,40.187798,28.929251,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:04:54,40.19495,28.936836,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:05:26,40.196926,28.938889,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:07:19,40.201473,28.947729,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:08:59,40.203609,28.953064,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:08:59,40.203609,28.953064,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:10:25,40.209694,28.952765,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:15:23,40.211002,28.998793,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:16:48,40.209152,28.999088,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:16:58,40.209122,28.999084,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:21:05,40.20874,28.99988,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:21:44,40.208206,28.999313,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:21:54,40.208168,28.999292,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:26:40,40.208168,28.999292,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:27:41,40.208084,28.998859,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:27:50,40.20808,28.998869,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:28:56,40.207626,28.998596,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:33:45,40.207626,28.998596,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:34:10,40.207226,28.998463,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,07:34:26,40.206898,28.998693,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
