Tarih,Saat,Enlem,Boylam,Hız(km/sa),vehicle_type,konteyner_tip
19.12.2025,00:00:00,40.264187,28.970005,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:15:32,40.276482,28.94359,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:27:39,40.236347,28.92329,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:28:59,40.229218,28.915789,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:29:09,40.229218,28.915798,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:30:22,40.22562,28.914803,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:33:24,40.211716,28.918058,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:33:34,40.211723,28.918087,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:34:09,40.211838,28.918394,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:34:49,40.212166,28.917982,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:35:13,40.21207,28.917946,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:36:33,40.212116,28.918093,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:36:43,40.212124,28.918093,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:41:26,40.212212,28.917959,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:42:23,40.21188,28.918226,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:50:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,00:50:39,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:00:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:00:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:10:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:10:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:20:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:20:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:30:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:30:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:40:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:40:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:50:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,01:50:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:00:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:00:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:10:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:10:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:20:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:20:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:30:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:30:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:40:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:40:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:50:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,02:50:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:00:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:00:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:10:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:10:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:20:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:20:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:30:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:30:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:40:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
19.12.2025,03:40:10,40.190086,28.930481,0.0,Small Garbage Truck,PLASTİK
