Tarih,Saat,Enlem,Boylam,Hız(km/sa),vehicle_type,konteyner_tip
19.12.2025,00:07:55,40.190174,28.930748,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:17:55,40.190174,28.930748,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:27:55,40.190174,28.930748,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:37:55,40.190174,28.930748,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:48:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:58:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,00:58:28,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:08:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:18:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:28:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:38:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:48:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,01:58:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:08:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:18:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:28:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:38:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:48:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,02:58:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:08:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:18:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:18:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:28:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
19.12.2025,03:38:22,40.190327,28.930677,0.0,Large Garbage Truck,BÜYÜK (770L/400L)
