Tarih,Saat,Enlem,Boylam,Hız(km/sa),vehicle_type,konteyner_tip
19.12.2025,00:10:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:10:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:20:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:20:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:21:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:21:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:30:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:30:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:40:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:40:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:50:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,00:50:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:00:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:00:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:10:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:10:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:20:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:20:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:30:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:30:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:40:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:40:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:50:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,01:50:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,02:00:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,02:00:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,02:10:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,02:20:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,02:30:29,40.190136,28.931025,0.0,Crane Vehicle,YERALTI
19.12.2025,06:26:42,40.218952,28.914679,0.0,Crane Vehicle,YERALTI
19.12.2025,06:30:41,40.217438,28.86902,0.0,Crane Vehicle,YERALTI
19.12.2025,06:30:51,40.217438,28.869022,0.0,Crane Vehicle,YERALTI
19.12.2025,06:39:49,40.201416,28.842861,0.0,Crane Vehicle,YERALTI
19.12.2025,06:41:41,40.20068,28.842834,0.0,Crane Vehicle,YERALTI
19.12.2025,06:41:50,40.200691,28.842829,0.0,Crane Vehicle,YERALTI
19.12.2025,06:44:42,40.198223,28.8417,0.0,Crane Vehicle,YERALTI
19.12.2025,06:47:39,40.199005,28.841595,0.0,Crane Vehicle,YERALTI
19.12.2025,06:47:49,40.199005,28.841589,0.0,Crane Vehicle,YERALTI
19.12.2025,06:49:28,40.20005,28.841404,0.0,Crane Vehicle,YERALTI
19.12.2025,06:51:54,40.200386,28.841309,0.0,Crane Vehicle,YERALTI
19.12.2025,06:52:51,40.200855,28.841223,0.0,Crane Vehicle,YERALTI
19.12.2025,06:53:01,40.200863,28.841221,0.0,Crane Vehicle,YERALTI
19.12.2025,06:53:35,40.201347,28.841236,0.0,Crane Vehicle,YERALTI
