Tarih,Saat,Enlem,Boylam,Hız(km/sa),vehicle_type,konteyner_tip
19.12.2025,00:08:59,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,00:18:59,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,00:18:59,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,00:28:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,00:38:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,00:48:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,00:58:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,01:08:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,01:08:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,01:18:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,01:28:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,01:38:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,01:48:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,01:58:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,02:08:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,02:08:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,02:18:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,02:28:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,02:38:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,02:48:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,02:58:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,03:08:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,03:08:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,03:18:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,03:28:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
19.12.2025,03:38:58,40.202579,28.950399,0.0,Crane Vehicle,YERALTI
