Tarih,Saat,Enlem,Boylam,Hız(km/sa),vehicle_type,konteyner_tip
19.12.2025,00:02:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,00:12:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,00:12:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,00:22:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,00:32:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,00:42:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,00:52:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,01:02:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,01:02:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,01:12:39,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,01:22:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,01:32:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,01:42:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,01:52:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,02:02:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,02:02:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,02:12:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,02:22:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,02:32:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,02:42:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,02:52:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,03:02:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,03:02:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,03:12:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
19.12.2025,03:22:38,40.190022,28.930954,0.0,Crane Vehicle,YERALTI
